School Year,BEDS Code,School Name,Grade Organization,District Name,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2009-2010,342800010175,Ps 175 The Lynn Gross Discovery School,Elementary,New York City Geographic District #28,New York City,Public,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,342800010182,Ps 182 Samantha Smith,Elementary,New York City Geographic District #28,New York City,Public,865,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,2,1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2009-2010,342800010190,Jhs 190 Russell Sage,Middle School,New York City Geographic District #28,New York City,Public,870,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,38,0,14,0,0,0,3,0,1,0,2,0,0,0,4,0,4,41
2009-2010,342800010196,Ps 196 Grand Central Parkway,Elementary,New York City Geographic District #28,New York City,Public,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
2009-2010,342800010206,Ps 206 The Horace Harding School,Elementary,New York City Geographic District #28,New York City,Public,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009-2010,342800010217,Jhs 217 Robert A Van Wyck,Middle School,New York City Geographic District #28,New York City,Public,1326,0,0,0,0,0,6,1,2,0,1,1,0,0,0,0,0,1,1,62,0,17,0,0,0,3,0,2,0,1,0,0,0,12,3,7,32
2009-2010,342800010220,Ps 220 Edward Mandel,Elementary,New York City Geographic District #28,New York City,Public,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2009-2010,342800010303,The Academy For Excellence Through The Arts,Elementary,New York City Geographic District #28,New York City,Public,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,342800011284,York Early College Academy,Junior Senior School,New York City Geographic District #28,New York City,Public,328,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
2009-2010,342800011310,Queens Collegiate - A College Board School,Junior Senior School,New York City Geographic District #28,New York City,Public,161,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
2009-2010,342800011440,Forest Hills High School,Senior High,New York City Geographic District #28,New York City,Public,3860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,40,1,18,0,0,1,7,0,1,0,0,0,0,0,8,2,5,57
2009-2010,342800011470,Jamaica High School,Senior High,New York City Geographic District #28,New York City,Public,1478,0,0,0,0,0,4,0,0,0,1,1,0,0,0,1,1,0,0,55,1,36,0,0,0,4,0,4,1,0,0,0,11,1,5,1,239
