School Year,BEDS Code,School Name,Grade Organization,District Name,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2009-2010,320800010304,Ps 304 Early Childhood School,Elementary,New York City Geographic District # 8,New York City,Public,542,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,320800010312,Millenium Art Academy,Senior High,New York City Geographic District # 8,New York City,Public,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,0,0,0,0,1,0,0,0,0,2,0,0,1,5
2009-2010,320800010333,Ps 333 The Museum School,Elementary,New York City Geographic District # 8,New York City,Public,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,320800010335,The Academy Of The Arts,Elementary,New York City Geographic District # 8,New York City,Public,208,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2009-2010,320800010337,School For Inquiry And Social Justice,Middle School,New York City Geographic District # 8,New York City,Public,289,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,2,43,0,4,0,0,1,3,0,2,0,1,0,0,0,0,1,0,22
2009-2010,320800010366,Urban Assembly For Civic Engagement,Junior High School,New York City Geographic District # 8,New York City,Public,377,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,1,11,0,3,0,0,0,2,0,0,0,0,0,0,0,3,4,0,2
2009-2010,320800010371,Urban Institute Of Mathematics,Middle School,New York City Geographic District # 8,New York City,Public,386,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,2,25,2,10,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3
2009-2010,320800010375,The Bronx Mathematics Preparatory School,Middle School,New York City Geographic District # 8,New York City,Public,438,0,0,0,0,0,2,0,0,0,0,2,0,0,0,5,2,1,0,29,0,9,0,0,1,6,0,2,0,2,0,0,0,6,0,0,13
2009-2010,320800010424,The Hunts Point School,Junior High School,New York City Geographic District # 8,New York City,Public,399,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,36,2,6,0,0,0,2,0,1,0,0,0,0,0,0,1,0,9
2009-2010,320800010448,Soundview Academy For Culture And Scholarship,Junior High School,New York City Geographic District # 8,New York City,Public,136,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,20,1,13,0,0,0,1,0,2,0,0,0,0,0,3,0,0,17
2009-2010,320800010467,Mott Hall Community School,Junior High School,New York City Geographic District # 8,New York City,Public,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2009-2010,320800011269,Bronx Studio School For Writers And Artists,Junior Senior School,New York City Geographic District # 8,New York City,Public,306,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,23,0,8,0,0,0,3,0,1,0,0,0,0,0,5,0,0,16
2009-2010,320800011282,Women'S Academy Of Excellence,Senior High,New York City Geographic District # 8,New York City,Public,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
2009-2010,320800011293,Renaissance High School For Musical Theater And Technology,Senior High,New York City Geographic District # 8,New York City,Public,461,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,6,0,5,0,0,0,1,0,0,0,0,0,0,1,1,1,1,6
2009-2010,320800011295,Gateway School For Environmental Research And Technology,Senior High,New York City Geographic District # 8,New York City,Public,507,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,24,0,16,0,0,0,4,0,1,0,0,0,0,1,0,2,1,30
2009-2010,320800011305,Pablo Neruda Academy For Architecture And World Studies,Senior High,New York City Geographic District # 8,New York City,Public,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,26,0,4,0,0,0,0,0,1,0,0,0,0,4,0,3,0,19
2009-2010,320800011332,Holcombe L Rucker School Of Community Research,Senior High,New York City Geographic District # 8,New York City,Public,348,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8
2009-2010,320800011367,"Archimedes Academy For Math, Science And Technology Applications",Junior High School,New York City Geographic District # 8,New York City,Public,307,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,32,0,11,0,0,0,1,0,0,0,1,0,0,0,2,0,0,23
2009-2010,320800011376,Antonia Pantoja Preperatory Academy,Junior High School,New York City Geographic District # 8,New York City,Public,284,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,0,15,0,7,0,0,0,2,0,1,0,2,0,0,0,1,0,0,10
2009-2010,320800011377,Bronx Community High School,Senior High,New York City Geographic District # 8,New York City,Public,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2
2009-2010,320800011381,Bronx Haven High School,Senior High,New York City Geographic District # 8,,Public,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009-2010,320800011405,Herbert H Lehman High School,Senior High,New York City Geographic District # 8,New York City,Public,4122,0,0,0,0,0,8,1,1,0,1,1,0,0,0,3,0,7,0,116,1,35,0,0,0,8,0,14,2,0,0,0,1,17,7,1,423
2009-2010,320800011452,Bronx Guild High School,Senior High,New York City Geographic District # 8,New York City,Public,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,14
2009-2010,320800011519,Felisa Rincon De Gautier Institute For Law And Public Policy,Senior High,New York City Geographic District # 8,New York City,Public,403,0,0,0,0,0,2,0,0,0,0,1,0,0,0,5,1,1,2,33,1,8,0,0,0,6,0,3,0,0,0,0,3,4,1,3,48
2009-2010,320800011530,Banana Kelly High School,Senior High,New York City Geographic District # 8,New York City,Public,468,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2009-2010,320800011540,School For Community Research And Learning,Senior High,New York City Geographic District # 8,New York City,Public,385,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,1,0,9,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13
2009-2010,320800011560,Bronx Academy High School,Senior High,New York City Geographic District # 8,New York City,Public,363,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,2,2
2009-2010,320800011650,Jane Addams High School For Academic Careers,Senior High,New York City Geographic District # 8,New York City,Public,1279,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0,0,42,0,5,0,0,0,4,0,0,0,0,0,1,1,5,0,1,67
2009-2010,320900010002,Ps 2 Morrisania,Elementary,New York City Geographic District # 9,New York City,Public,150,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3
2009-2010,320900010004,Ps/Ms 4 Crotona Park West,Elementary,New York City Geographic District # 9,New York City,Public,427,0,0,0,0,0,3,0,0,0,0,1,0,0,0,6,0,0,1,30,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12
2009-2010,320900010011,Ps 11 Highbridge,Elementary,New York City Geographic District # 9,New York City,Public,709,0,0,0,0,0,6,0,0,0,0,0,0,0,5,22,0,9,6,14,4,0,0,0,0,2,0,0,0,3,0,0,0,2,0,0,0
2009-2010,320900010022,Jhs 22 Jordan L Mott,Middle School,New York City Geographic District # 9,New York City,Public,679,0,0,0,0,0,2,0,0,0,1,0,0,0,1,3,2,2,1,39,0,9,0,0,0,6,0,2,0,0,0,0,0,3,1,1,4
2009-2010,320900010028,Ps 28 Mount Hope,Elementary,New York City Geographic District # 9,New York City,Public,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2009-2010,320900010035,Ps 35 Franz Siegel,Elementary,New York City Geographic District # 9,New York City,Public,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2009-2010,320900010042,Ps 42 Claremont,Elementary,New York City Geographic District # 9,New York City,Public,519,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,7
2009-2010,320900010053,Ps 53 Basheer Quisim,Elementary,New York City Geographic District # 9,New York City,Public,1368,0,0,0,0,0,2,0,0,0,0,1,0,0,2,7,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0
2009-2010,320900010055,Ps 55 Benjamin Franklin,Elementary,New York City Geographic District # 9,New York City,Public,709,0,0,0,0,0,1,0,0,0,1,1,0,0,1,2,0,1,2,4,1,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,1
2009-2010,320900010058,Ps 58,Elementary,New York City Geographic District # 9,New York City,Public,547,0,0,0,0,0,2,0,0,0,0,0,0,0,1,5,0,0,2,16,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5
2009-2010,320900010063,Ps 63 Author'S Academy,Elementary,New York City Geographic District # 9,New York City,Public,552,0,0,0,0,0,4,0,0,0,1,0,0,0,0,3,0,0,0,17,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
2009-2010,320900010064,Ps 64 Pura Belpre,Elementary,New York City Geographic District # 9,New York City,Public,861,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,1,1,14,1,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,1
2009-2010,320900010070,Ps 70 Max Schoenfeld,Elementary,New York City Geographic District # 9,New York City,Public,1383,0,0,0,0,0,7,0,0,0,0,0,0,0,2,7,1,6,1,19,2,5,0,0,0,2,0,2,0,0,0,0,0,4,0,0,10
2009-2010,320900010073,Ps 73 Bronx,Elementary,New York City Geographic District # 9,New York City,Public,922,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2,3,16,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1
2009-2010,320900010088,Ps 88 S Silverstein Little Sparrow School,Elementary,New York City Geographic District # 9,New York City,Public,292,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,320900010090,Ps 90 George Meany,Elementary,New York City Geographic District # 9,New York City,Public,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,320900010109,Ps 109 Sedgwick,Elementary,New York City Geographic District # 9,New York City,Public,753,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2009-2010,320900010110,Ps 110 Theodore Schoenfeld,Elementary,New York City Geographic District # 9,New York City,Public,424,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
2009-2010,320900010114,Ps 114 Luis Lorens Torres School,Elementary,New York City Geographic District # 9,New York City,Public,773,0,0,0,0,0,4,0,0,0,1,0,0,0,0,5,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2009-2010,320900010117,Is 117 Joseph H Wade,Middle School,New York City Geographic District # 9,New York City,Public,802,0,0,0,0,0,3,0,2,0,0,0,0,0,0,4,0,2,1,32,2,10,0,0,0,7,0,1,0,1,0,0,0,1,0,0,21
2009-2010,320900010126,Ps 126 Dr Marjorie H Dunbar,Elementary,New York City Geographic District # 9,New York City,Public,773,0,0,0,0,0,1,0,0,0,1,0,0,0,1,7,0,1,1,22,0,5,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4
2009-2010,320900010132,Ps 132 Garrett A Morgan,Elementary,New York City Geographic District # 9,New York City,Public,558,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,320900010145,Jhs 145 Arturo Toscanini,Middle School,New York City Geographic District # 9,New York City,Public,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,320900010163,Ps 163 Arthur A Schomberg,Elementary,New York City Geographic District # 9,New York City,Public,651,0,0,0,0,0,5,0,0,0,1,0,0,0,0,4,1,3,1,40,0,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,3
2009-2010,320900010166,Jhs 166 Roberto Clemente,Junior High School,New York City Geographic District # 9,New York City,Public,416,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,21,2,10,0,0,0,3,0,2,0,0,0,0,0,3,2,0,19
2009-2010,320900010170,Ps 170,Elementary,New York City Geographic District # 9,New York City,Public,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,320900010199,Ps 199 The Shakespeare School,Elementary,New York City Geographic District # 9,New York City,Public,762,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,4,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2009-2010,320900010204,Ps 204 Morris Heights,Elementary,New York City Geographic District # 9,New York City,Public,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2009-2010,320900010215,Kappa,Middle School,New York City Geographic District # 9,New York City,Public,435,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,1,1,13,0,5,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1
2009-2010,320900010218,Ps/Is 218 Rafael Hernandez Dual Language Magnet School,Elementary,New York City Geographic District # 9,New York City,Public,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
2009-2010,320900010219,Is 219 New Venture School,Middle School,New York City Geographic District # 9,New York City,Public,473,0,0,0,0,0,3,0,1,0,0,0,0,0,2,5,0,0,2,12,2,19,0,0,0,1,0,1,0,0,0,0,2,1,1,0,44
2009-2010,320900010229,Is 229 Roland Patterson,Middle School,New York City Geographic District # 9,New York City,Public,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,4,0,0,0,0,0,0,0,1,1,0,8
2009-2010,320900010230,Ps 230 Dr Roland N Patterson,Elementary,New York City Geographic District # 9,New York City,Public,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,320900010232,Is 232,Middle School,New York City Geographic District # 9,New York City,Public,429,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,1,9,1,3,0,0,0,1,0,1,0,0,0,0,0,3,1,1,1
2009-2010,320900010236,Ps 236 Langston Hughes,Elementary,New York City Geographic District # 9,New York City,Public,382,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,320900010303,Is 303 Leadership & Comm Service,Middle School,New York City Geographic District # 9,New York City,Public,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,320900010313,Is 313 School Of Leadership Development,Junior Senior School,New York City Geographic District # 9,New York City,Public,434,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
2009-2010,320900010323,Bronx Writing Academy,Middle School,New York City Geographic District # 9,New York City,Public,499,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,18,1,9,0,0,0,3,0,2,0,0,0,0,0,4,0,0,22
2009-2010,320900010325,Urban Science Academy,Middle School,New York City Geographic District # 9,New York City,Public,466,0,0,0,0,0,2,0,1,0,0,2,0,0,0,2,1,7,0,80,1,13,0,0,0,3,0,4,0,0,0,0,0,2,1,0,97
2009-2010,320900010327,Comprehensive Model School Project Ms 327,Middle School,New York City Geographic District # 9,New York City,Public,279,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2,0,15,1,6,0,0,0,4,0,2,0,0,0,0,0,0,0,0,8
2009-2010,320900010328,New Millennium Business Academy Middle School,Middle School,New York City Geographic District # 9,New York City,Public,255,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,5
2009-2010,320900010339,Is 339,Middle School,New York City Geographic District # 9,New York City,Public,805,0,0,0,0,0,3,0,1,0,1,2,0,0,0,7,2,3,1,60,0,19,0,0,0,4,0,3,1,0,0,0,4,0,2,1,12
2009-2010,320900010443,The Family School,Elementary,New York City Geographic District # 9,New York City,Public,314,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,320900010449,Grant Avenue Elementary School,Elementary,New York City Geographic District # 9,New York City,Public,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,320900010454,Science And Technology Academy:  A Mott Hall School,Junior High School,New York City Geographic District # 9,New York City,Public,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,320900010457,Sheridan Academy For Young Leaders,Elementary,New York City Geographic District # 9,New York City,Public,341,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,320900011227,Bronx Expeditionary Learning High School,Senior High,New York City Geographic District # 9,New York City,Public,391,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,32,0,20,0,0,0,3,0,4,0,0,0,0,4,0,1,2,31
2009-2010,320900011231,Eagle Academy For Young Men,Senior High,New York City Geographic District # 9,New York City,Public,449,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,15,0,6,0,0,0,4,0,2,0,0,0,0,0,0,2,0,4
2009-2010,320900011239,Urban Assembly Acad-History And Citizenship For Young Men,Senior High,New York City Geographic District # 9,New York City,Public,257,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,8,0,4,0,0,0,1,0,3,0,0,0,0,1,0,0,0,7
2009-2010,320900011241,Urban Assembly School For Applied Math And Science,Junior Senior School,New York City Geographic District # 9,New York City,Public,505,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
2009-2010,320900011250,Eximius College Preparatory Academy,Junior Senior School,New York City Geographic District # 9,New York City,Public,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,17,0,8,0,0,0,5,0,2,0,0,0,0,0,0,1,2,12
2009-2010,320900011252,Mott Hall Bronx High School,Senior High,New York City Geographic District # 9,New York City,Public,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,1,10,0,0,0,2,0,1,0,0,0,0,0,1,0,1,25
2009-2010,320900011260,Bronx Center For Science And Mathematics,Senior High,New York City Geographic District # 9,New York City,Public,430,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2009-2010,320900011263,Validus Preparatory Academy,Senior High,New York City Geographic District # 9,New York City,Public,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,0,0,0,0,0,4,1,0,0,0,0,1,0,0,9
2009-2010,320900011276,Leadership Institute,Senior High,New York City Geographic District # 9,New York City,Public,296,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,11,1,15,0,0,0,1,0,1,0,0,0,0,0,2,0,0,32
2009-2010,320900011297,Morris Academy For Collaborative Studies,Senior High,New York City Geographic District # 9,New York City,Public,429,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,13,0,14,0,0,0,1,0,1,0,0,0,0,0,0,1,0,31
2009-2010,320900011324,Bronx Early College Academy For Teaching And Learning,Junior Senior School,New York City Geographic District # 9,New York City,Public,265,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,12,1,7,0,0,0,0,0,2,0,0,0,0,0,2,4,1,8
2009-2010,320900011329,Dreamyard Preparatory School,Senior High,New York City Geographic District # 9,New York City,Public,366,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,0,9,0,0,0,0,0,1,0,0,0,0,2,0,3,0,28
2009-2010,320900011365,Academy For Language And Technology,Senior High,New York City Geographic District # 9,New York City,Public,302,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,1,10
2009-2010,320900011403,Bronx International High School,Senior High,New York City Geographic District # 9,New York City,Public,357,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,320900011404,School For Excellence,Senior High,New York City Geographic District # 9,New York City,Public,447,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15,0,13,0,0,0,0,0,3,0,0,0,0,0,0,1,0,30
2009-2010,320900011412,Bronx High School Of Business,Senior High,New York City Geographic District # 9,New York City,Public,445,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,4,0,43,0,17,0,0,1,3,0,1,0,2,0,0,2,3,1,0,87
2009-2010,320900011413,Bronx High School For Medical Science,Junior Senior School,New York City Geographic District # 9,New York City,Public,459,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,11,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
2009-2010,320900011414,Jonathan Levin Hs Of Media And Communications,Senior High,New York City Geographic District # 9,New York City,Public,445,0,0,0,0,0,3,0,2,0,1,0,0,0,0,1,0,4,0,40,0,29,0,0,0,1,0,8,0,0,0,0,3,0,1,0,85
2009-2010,320900011505,"Bronx School For Law, Government And Justice",Junior Senior School,New York City Geographic District # 9,New York City,Public,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,14,0,9,0,0,0,0,0,3,0,0,0,0,0,4,1,0,11
2009-2010,320900011517,Frederick Douglas Academy Iii Secondary School,Junior Senior School,New York City Geographic District # 9,New York City,Public,589,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,2,2
2009-2010,320900011525,Bronx Leadership Academy High School,Senior High,New York City Geographic District # 9,New York City,Public,658,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2009-2010,320900011527,Bronx Leadership Academy Ii High School,Senior High,New York City Geographic District # 9,,Public,447,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,18,0,5,0,0,0,1,0,3,0,0,0,0,1,0,2,0,3
2009-2010,320900011543,High School For Violin And Dance,Senior High,New York City Geographic District # 9,New York City,Public,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2009-2010,321000010003,Ps 3 Raul Julia Micro Society,Elementary,New York City Geographic District #10,New York City,Public,443,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,0,1,3,69,2,19,0,0,0,1,0,2,0,0,0,0,0,1,0,0,47
2009-2010,321000010007,Ps 7 Kingsbridge,Elementary,New York City Geographic District #10,New York City,Public,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2009-2010,321000010008,Ps 8 Issac Varian,Elementary,New York City Geographic District #10,New York City,Public,1180,0,0,0,1,0,9,0,0,0,0,0,0,0,0,5,0,0,4,10,1,1,0,0,0,1,0,3,0,0,0,0,0,6,1,0,0
2009-2010,321000010009,Ps 9 Ryer Avenue Elementary School,Elementary,New York City Geographic District #10,New York City,Public,670,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
2009-2010,321000010015,Ps 15 Institute For Environmental Learning,Elementary,New York City Geographic District #10,New York City,Public,577,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,321000010020,Ps 20 George J Werdan Iii,Elementary,New York City Geographic District #10,New York City,Public,1079,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,1,14,0,5,0,0,0,2,0,2,0,1,0,0,0,7,0,1,1
2009-2010,321000010023,Ps 23 The New Children'S School,Elementary,New York City Geographic District #10,New York City,Public,579,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,2,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
2009-2010,321000010024,Ps 24 Spuyten Duyvil,Elementary,New York City Geographic District #10,New York City,Public,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2009-2010,321000010032,Ps 32 Belmont,Elementary,New York City Geographic District #10,New York City,Public,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,321000010033,Ps 33 Timothy Dwight,Elementary,New York City Geographic District #10,New York City,Public,954,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2009-2010,321000010037,Ps 37 Multiple Intelligence School,Elementary,New York City Geographic District #10,New York City,Public,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,4,0,0,0,2,0,0,0,0,0,0,0,4,0,1,2
